COD,DEPARTAMENTO
DEZ,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA"
ECL,DEPT. ECOLOGIA
DBF,DEPT. BIOFÍSICA E FARMACOLOGIA
DBG,DEPT. BIOLOGIA E GENETICA
DBQ,DEPT. BIOQUÍMICA
DFS,DEPT. FISIOLOGIA E COMPORTAMENTO
DMP,DEPT. MICROBIOLOGIA E PARASITOLOGIA
MOR,DEPT. MORFOLOGIA
DOL,DEPT. OCEANOGRAFIA E LIMNOLOGIA
FIL,OUTROS DEPARTAMENTOS
DPU,OUTROS DEPARTAMENTOS
CAC,OUTROS DEPARTAMENTOS
PEC,OUTROS DEPARTAMENTOS
FPE,OUTROS DEPARTAMENTOS
EST,OUTROS DEPARTAMENTOS
ICE,OUTROS DEPARTAMENTOS
MCL,OUTROS DEPARTAMENTOS
FAR,OUTROS DEPARTAMENTOS
DSC,OUTROS DEPARTAMENTOS
CIV,OUTROS DEPARTAMENTOS
MAT,OUTROS DEPARTAMENTOS
ADM,OUTROS DEPARTAMENTOS
ARQ,OUTROS DEPARTAMENTOS
ECO,OUTROS DEPARTAMENTOS
FIS,OUTROS DEPARTAMENTOS
MAT,OUTROS DEPARTAMENTOS
DGE,OUTROS DEPARTAMENTOS
CIV,OUTROS DEPARTAMENTOS
FIS,OUTROS DEPARTAMENTOS
CIV,OUTROS DEPARTAMENTOS