CENTRO DE BIOCIÊNCIAS,,,
,,,
ESPAÇO FÍSICO 2011-2,,,
,,,
LOCALIZAÇÃO DAS SALAS EXISTENTES:,,,
,,,
BLOCO NOVO:,,,
TÉRREO,,,
,2ª SALA,JUAZEIRO,
,3ª SALA,MANDACARU,
,4ª SALA,UMBUZEIRO,
1º ANDAR,1ª SALA ,PAU-BRASIL,
,2ª SALA ,PAU D´ARCO,
,3ª SALA ,CARNAÚBA,
,4ª SALA,MULUNGU,
,5ª SALA,CATOLÉ,
2º ANDAR,1ª SALA,AROEIRA,
,2ª SALA,IMBURANA,
,3ª SALA,QUIXABEIRA,
,4ª SALA,FAVELEIRA,
,5ª SALA,JUCÁ,
,,,
PRÉDIO ANTIGO:,,,
TÉRREO OU,DEPTO.,EPTÉLIOS (ST1),
SUB-SOLO,MORFOLOGIA,EMBRIÕES (ST2),
1º ANDAR OU,"DBG, DMP, BEZ",CÉLULAS (S1A),Corredor da copiadora e da Biblioteca 
TÉRREO,,DNA,Corredor em frente à copiadora
,ANFITEATROS,"RÉPTEIS ""B""",
,,"ANFÍBIOS ""C""",
,,"PEIXES ""D""",
2º ANDAR,"DBF, DFS, DBQ",ANF. DA BIOFÍSICA,
,,SALA II-DBF,
,,SALA I - DFS,
,,SALA II - DFS,